"Datum","Zuletzt","Eröffn.","Hoch","Tief","+/- %"
"04.04.2018","0,256","0,266","0,269","0,238","-1,27%"
"03.04.2018","0,259","0,240","0,276","0,239","2,21%"
"02.04.2018","0,254","0,252","0,254","0,252","0,00%"
"30.03.2018","0,254","0,252","0,262","0,252","0,71%"
"29.03.2018","0,252","0,265","0,273","0,248","-3,85%"
"28.03.2018","0,262","0,262","0,268","0,235","-1,35%"
"27.03.2018","0,266","0,294","0,299","0,261","-6,54%"
"26.03.2018","0,284","0,293","0,311","0,283","-1,28%"
"24.03.2018","0,288","0,293","0,293","0,284","0,00%"
"23.03.2018","0,288","0,288","0,310","0,281","-1,10%"
"22.03.2018","0,291","0,343","0,344","0,278","-17,25%"
"21.03.2018","0,352","0,351","0,366","0,343","1,74%"
"20.03.2018","0,346","0,340","0,356","0,337","3,53%"
"19.03.2018","0,334","0,341","0,373","0,328","-0,21%"
"18.03.2018","0,335","0,335","0,335","0,335","-1,06%"
"17.03.2018","0,338","0,338","0,338","0,338","0,77%"
"16.03.2018","0,336","0,338","0,351","0,323","-1,53%"
"15.03.2018","0,341","0,358","0,363","0,333","-4,67%"
"14.03.2018","0,358","0,374","0,393","0,350","-6,56%"
"13.03.2018","0,383","0,395","0,403","0,374","-3,04%"
"12.03.2018","0,395","0,416","0,417","0,386","-1,91%"
"10.03.2018","0,402","0,403","0,403","0,402","-0,59%"
"09.03.2018","0,405","0,401","0,420","0,394","3,56%"
"08.03.2018","0,391","0,426","0,468","0,389","-5,78%"
"07.03.2018","0,415","0,425","0,434","0,410","-4,80%"
"06.03.2018","0,436","0,417","0,461","0,400","7,79%"
"05.03.2018","0,404","0,381","0,406","0,360","0,00%"
"03.03.2018","0,404","0,404","0,404","0,404","-1,22%"
"02.03.2018","0,409","0,396","0,414","0,372","0,59%"
"01.03.2018","0,407","0,414","0,420","0,387","-2,68%"
"28.02.2018","0,418","0,441","0,454","0,417","-5,11%"
"27.02.2018","0,440","0,428","0,450","0,420","5,29%"
"26.02.2018","0,418","0,414","0,437","0,409","0,00%"
"23.02.2018","0,418","0,474","0,474","0,417","-10,93%"
"22.02.2018","0,469","0,505","0,505","0,461","-3,18%"
"21.02.2018","0,485","0,489","0,490","0,457","-2,04%"
"20.02.2018","0,495","0,507","0,524","0,477","-0,14%"
"19.02.2018","0,495","0,486","0,506","0,471","4,65%"
"18.02.2018","0,473","0,473","0,473","0,473","0,47%"
"16.02.2018","0,471","0,533","0,539","0,464","-10,32%"
"15.02.2018","0,525","0,537","0,555","0,514","1,17%"
"14.02.2018","0,519","0,499","0,534","0,487","17,54%"
"13.02.2018","0,442","0,440","0,448","0,411","-1,03%"
"12.02.2018","0,446","0,451","0,472","0,424","1,22%"
"11.02.2018","0,441","0,441","0,441","0,441","0,00%"
"10.02.2018","0,441","0,441","0,441","0,441","1,29%"
"09.02.2018","0,436","0,449","0,463","0,407","-1,78%"
"08.02.2018","0,444","0,439","0,492","0,423","3,04%"
"07.02.2018","0,430","0,390","0,433","0,373","13,17%"
"06.02.2018","0,380","0,421","0,421","0,350","-8,36%"
"05.02.2018","0,415","0,455","0,460","0,397","-4,86%"
"04.02.2018","0,436","0,436","0,436","0,436","0,00%"
"03.02.2018","0,436","0,436","0,436","0,436","-2,81%"
"02.02.2018","0,449","0,426","0,457","0,409","9,70%"
"01.02.2018","0,409","0,396","0,426","0,376","6,45%"
"31.01.2018","0,384","0,365","0,396","0,350","3,19%"
"30.01.2018","0,373","0,383","0,391","0,354","-1,97%"
"29.01.2018","0,380","0,344","0,402","0,330","17,93%"
"28.01.2018","0,322","0,322","0,322","0,322","0,00%"
"27.01.2018","0,322","0,322","0,322","0,322","0,28%"
"26.01.2018","0,322","0,308","0,328","0,277","9,61%"
"25.01.2018","0,293","0,255","0,336","0,243","11,43%"
"24.01.2018","0,263","0,240","0,271","0,232","10,03%"
"23.01.2018","0,239","0,244","0,246","0,209","-1,16%"
"22.01.2018","0,242","0,249","0,263","0,230","-2,73%"
"21.01.2018","0,249","0,248","0,249","0,248","0,44%"
"20.01.2018","0,248","0,248","0,248","0,248","1,98%"
"19.01.2018","0,243","0,262","0,271","0,225","-1,82%"
"18.01.2018","0,248","0,246","0,267","0,237","6,91%"
"17.01.2018","0,231","0,234","0,240","0,220","0,00%"
"16.01.2018","0,232","0,251","0,255","0,218","-8,27%"
"15.01.2018","0,253","0,247","0,260","0,226","4,55%"
